OperatorAddress,ConsensusPubKey.Type,ConsensusPubKey.Key,Jailed,Status,Tokens,DelegatorShares,Description.Moniker,Description.Identity,Description.Website,Description.SecurityContact,Description.Details,UnbondingHeight,UnbondingTime,Commission.CommissionRates.Rate,Commission.CommissionRates.MaxRate,Commission.CommissionRates.MaxChangeRate,Commission.UpdateTime,MinSelfDelegation
quickvaloper1q993rdek3hl6hwed3z89klf2d62d8pwv34uks5,/cosmos.crypto.ed25519.PubKey,NxiSYHOV2grSB7uCvdvJM7QYxqs8fgwKSLH8rBZSIC4=,false,BOND_STATUS_BONDED,689770339714,689770339714.000000000000000000,Cros-nest,5F1D6AC7EA588676,https://www.cros-nest.com,chainmaster@cros-nest.com,We operate state-of-the-art distributed and redundant validator and relayer infrastructure for Proof of Stake Blockchains.,0,2023-01-07T09:34:23.775595284Z,0.050000000000000000,0.200000000000000000,0.010000000000000000,2022-12-16T13:00:00Z,1
quickvaloper1qsmrzvrhzr9n2puguy42v8lgtm7rxvvuzlh2s6,/cosmos.crypto.ed25519.PubKey,KCGR7AK4ERaYRnRgjUHRGfYRHQar/Y+qiQW8+8TqFcM=,false,BOND_STATUS_BONDED,383900730457,383900730457.000000000000000000,"Frens (🤝,🤝)",C47845226662AF47,https://frens.army,marc@frens.army,Your friendly validator for cosmos chains,0,1970-01-01T00:00:00Z,0.050000000000000000,0.500000000000000000,0.100000000000000000,2023-01-13T10:31:56.175293110Z,50
quickvaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7q4u6x0h,/cosmos.crypto.ed25519.PubKey,bAMuNmJPmOZNxCoDe0tGNzQur/PQTZmLcteQSx7Ogow=,false,BOND_STATUS_BONDED,544063387337,544063387337.000000000000000000,Stakecito,D16E26E5C8154E17,https://stakecito.com/,info@stakecito.de,Securing & Decentralizing PoS Networks.,0,2023-01-07T09:33:31.823471630Z,0.050000000000000000,0.200000000000000000,0.010000000000000000,2022-12-16T13:00:00Z,1
quickvaloper1quu937pu0jem48832yhvc36f507f60ql4s4rz7,/cosmos.crypto.ed25519.PubKey,2NMizQto7GIfvf9cgSZ5cLDslOLm8wtltGnWRfJ2bYw=,false,BOND_STATUS_BONDED,453020071351,455296554120.512418631048386552,Galaxias | 🛡️ Slash protected,64ACD9AC1A15985F,https://galaxias-staking.com,galaxiasnode@gmail.com,Secure and highly reliable validator infrastructure. Backed with 100% Downtime slash insurance,244003,2023-02-10T04:15:48.820020205Z,0.140000000000000000,0.200000000000000000,0.010000000000000000,2023-04-21T04:30:44.359764284Z,1
quickvaloper1puwcmvnduh5l25a85f8lrpga7rv5ngp2yqrkw9,/cosmos.crypto.ed25519.PubKey,52PWkt20O4otIsVNvHcboNMnBJXZfpKn3wvAkyiMK+w=,false,BOND_STATUS_BONDED,559290385059,562100886989.945105699660691667,Equinox,048733E2C6061B87,https://www.equinoxdao.xyz/,blockcoin1@126.com,Cosmos Quicksilver Equinox,1414997,2023-05-01T01:25:39.287167367Z,0.100000000000000000,0.200000000000000000,0.100000000000000000,2022-12-17T10:29:48.660537099Z,1
quickvaloper1rmlvmr7humclqs89p6t9jq5r0vuejsejz38myp,/cosmos.crypto.ed25519.PubKey,GbnY7GemtL69rTb8PbpPfkNofuOVRJjZpiGjKdNmk6c=,false,BOND_STATUS_BONDED,459286918725,459286918725.000000000000000000,blockscope.net,54788E59DF2F2272,https://blockscope.net,blockscope@protonmail.com,🛡 Building the Web3,0,1970-01-01T00:00:00Z,0.080000000000000000,0.200000000000000000,0.050000000000000000,2023-04-23T23:24:30.670523179Z,1
quickvaloper185hll0d9pydf923ngka3fcwa4xzjm8j6jr53ye,/cosmos.crypto.ed25519.PubKey,8u/Kba4ZeYbvYzO8Gpk6D4Qn7mel2wg0tdLcF2asAII=,false,BOND_STATUS_BONDED,528826003042,528826003042.000000000000000000,AM Solutions 🪐,5A1DB2A1F7B6A66F,https://www.theamsolutions.info,Discord - AlexeyM#5409,The most important is - reliability.,0,1970-01-01T00:00:00Z,0.050000000000000000,0.150000000000000000,0.150000000000000000,2022-12-16T13:00:00Z,1
quickvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4psyn3a0,/cosmos.crypto.ed25519.PubKey,3+HV+5OPwm72i0aqBzH0FihassT3T0R9Mz864ZlO97E=,false,BOND_STATUS_BONDED,876046863600,876046863600.000000000000000000,polkachu.com,0A6AF02D1557E5B4,https://polkachu.com,hello@polkachu.com,Polkachu is the trusted staking service provider for blockchain projects. 100% refund for downtime slash. Contact us at hello@polkachu.com,0,2023-01-07T08:56:21.762398694Z,0.050000000000000000,0.100000000000000000,0.050000000000000000,2022-12-16T13:00:00Z,1
quickvaloper1f4tw9vx6jfpds8jx2gt75l6cq6kkcd6lcdmgc9,/cosmos.crypto.ed25519.PubKey,upWK/LrHPpoClQMaNOsc50UmgVP7eSlUw/ZTkxntzRM=,false,BOND_STATUS_BONDED,495581709067,495581709067.000000000000000000,Kalia Network,3D6E2861B47F2F9F,https://kalia.network,info@kalia.network,Kalia Network validator node. Delegate your tokens and Start Earning Staking Rewards,0,1970-01-01T00:00:00Z,0.050000000000000000,1.000000000000000000,1.000000000000000000,2022-12-19T13:42:23.734489554Z,1
quickvaloper12vynyvs86e7d32qc9v8z62du9t4zl8jynm0qhp,/cosmos.crypto.ed25519.PubKey,vY4Jwf6EpSUzFSgNxAQ9dwlhrRl7JntO/TzAYj7Gn4M=,false,BOND_STATUS_BONDED,449206296717,453732272332.042813293169751491,stakingcabin2,C0522DF992B0C407,https://stakingcabin.com,richard@stakingcabin.com,StakingCabin,1503108,2023-05-07T01:55:33.065119913Z,0.100000000000000000,0.200000000000000000,0.010000000000000000,2023-03-28T01:26:56.236072296Z,1
