ChainID,Sender,TxHash,Amount,FirstSeen,Completed
cosmoshub-4,cosmos18u6d3jc60ed7y0fjstw07d8vcp7z3nwtuj64yv,005AABC399866544CBEC4DC57887A7297289BF40C056A1544D3CE18946DB7DB9,"[{""denom"":""uatom"",""amount"":""100000000""}]",2023-05-01T09:12:21.376800572Z,
cosmoshub-4,cosmos1wawvgsgt2qsmkkex49e3t37fzvq5zt8dv3tdvc,006C35C5B3639565D06CD2592343EEAA192A97A9C6407031B5D3A165E7D61C0F,"[{""denom"":""uatom"",""amount"":""10000000""}]",2023-04-19T03:20:59.622436715Z,
cosmoshub-4,cosmos1mym6ejshzkllrrvcynq0z7v2wcu4q43f37q4mg,0104D04C75C7C67DF1388D6F21D4397FDFB454860294A5E115868072145BA49B,"[{""denom"":""uatom"",""amount"":""200000""}]",2023-04-14T09:57:26.887575925Z,
cosmoshub-4,cosmos1fg54f87w3pha68ncqzvshat828rt5aut6ngput,01664CE721B1E96BA044FE7AEB75BE4937DF2CF484AD4551FF0116E95FBE56D4,"[{""denom"":""uatom"",""amount"":""46147898""}]",2023-04-29T04:17:47.184154471Z,
cosmoshub-4,cosmos1m4vfjh8pnt8rrhpx3sjxmpry5e86p52dw6shre,01891451998E20C912C6F89A3D720B161E3C391A4B8226973E50296919D5CAC9,"[{""denom"":""uatom"",""amount"":""472935""}]",2023-05-03T07:43:22.853840145Z,
cosmoshub-4,cosmos15sw2j9erj6g097hzmyttpjagvnjc8uedlf4030,0192B964DC503ADCF7208585BEADC77FA55E37A6BDFCD56ECE7C2218B3645160,"[{""denom"":""uatom"",""amount"":""1000000""}]",2023-04-20T08:38:53.975644702Z,
cosmoshub-4,cosmos10w02jr8meucsueqesd54a2waahf2wxqaj9mh2h,01B4E484FC91D8C62429CF7CA1C66553E7FD8052052BCF93AA8FF69C021A7FB7,"[{""denom"":""uatom"",""amount"":""100000""}]",2023-04-19T16:28:05.725447094Z,
cosmoshub-4,cosmos1uhlcxpat0as7n2f30nl3e90yvl93lmsej4s7jf,01B54BD005313581DC2C866DFB954B6848D010690F2C4AE78647DDC91FB2ABA3,"[{""denom"":""uatom"",""amount"":""300000""}]",2023-04-28T00:29:48.863209141Z,
cosmoshub-4,cosmos1xf4n5alscmyuhuyv5elnpns38lf64u8ysz59wf,01DF9E0F046D57C61F60F87945F7377EC3E9A1B738CDEA39DAAA391629E78A3C,"[{""denom"":""uatom"",""amount"":""39247408""}]",2023-04-14T03:34:26.369420160Z,
cosmoshub-4,cosmos1ztreexwyh3lfjk784av24c4jvvvhzyp8259uet,0232C0D88C4A42A27A6A9E96F224A765472132890B530B91740952CC0C5892E9,"[{""denom"":""uatom"",""amount"":""1000000""}]",2023-05-01T23:28:31.377248594Z,
cosmoshub-4,cosmos1hj6x59kz8g3x8jwhsrtyzrlj47fhme60cenut0,02CA57E2ED753C4C9039C554C9F06C17014DE67F5E1D42B64046680189FC5656,"[{""denom"":""uatom"",""amount"":""100000""}]",2023-04-04T11:21:45.213021609Z,
cosmoshub-4,cosmos10w02jr8meucsueqesd54a2waahf2wxqaj9mh2h,03AAF4B482BFC5ABBBDD8CCA3CD6CB6A9F43E4F7B9009421A3C4023C9AF1EA63,"[{""denom"":""uatom"",""amount"":""10000""}]",2023-04-29T16:29:27.294113418Z,
cosmoshub-4,cosmos1du6h94k2j6zsqhrmuzhyxe3sy6lt95j2hga3h5,042B7FB7AEF442EB50284320D20BD227EAB7FACC9B62C3EA876FC539EF4031CB,"[{""denom"":""uatom"",""amount"":""3400000""}]",2023-05-05T09:54:24.787080095Z,
