Delegation.DelegatorAddress,Delegation.ValidatorAddress,Delegation.Shares,Balance.Denom,Balance.Amount
quick1qqch4ar894gufwvj00qzghhfrd5jzj7mqxqnz0,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,311300000.000000000000000000,uqck,311300000
quick1qp9w9ssapq6z2vgwurthpdeltjc2smwytkjncm,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1500000.000000000000000000,uqck,1500000
quick1q2p0c7t4fle36awhu7pq6qrt2aqd5cdfsf0q83,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1000000.000000000000000000,uqck,1000000
quick1qenxsaclrltl7ttcuaqe0uy7edw0v6fp46e08w,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,6000000.000000000000000000,uqck,6000000
quick1qm5y0aa4sggyedhv5z45cxahe67np0vprw5spj,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,3000000.000000000000000000,uqck,3000000
quick1qapv0plrwcqeqxefeg20zgr2x5s26f06fptf58,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,3180962925.000000000000000000,uqck,3180962925
quick1pyv5xxe6pajjg0hs0pudclpt52v5w7sy7vcgzy,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1.000000000000000000,uqck,1
quick1pyhhmsymjnfs6k2uks70r6rygwyewaxnr8x5uz,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,30.000000000000000000,uqck,30
quick1px6pc9jyxr8uj2flkgtswxax7jlptrr3gnkg2t,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1535000000.000000000000000000,uqck,1535000000
quick1pfxkckpcpcc5su5kydwsqa9kwnflfurl27y44j,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,217980259.000000000000000000,uqck,217980259
quick1p28xa0nw9gf24zx3j5kpkshzj643k6v4pcqmka,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,1100000.000000000000000000,uqck,1100000
quick1pthj8z657jan8lvqadvgu9dexn49gw6zh2tse4,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,10.000000000000000000,uqck,10
quick1pw4ggdkkv5dugalrkae35mdu2exuu0dnn7c9ap,quickvaloper16pj5gljqnqs0ajxakccfjhu05yczp987nmxvcw,27.000000000000000000,uqck,27
